artist_uri 3,N
0dmPX6ovclgOy8WWJaFEUU,903
0dN0EZG89qHG7MXKqvQjf2,844
0DrXhci3WAyo0WJv1RBOG6,1932
0DtXHIvJ8NWBg5pGvsgWnR,777
0du5cEVh5yTK9QJze8zA0C,162464
0dU2EKM6vca3xmJ9kl8zoI,1391
0dvKgSdNB2U1gfp6ZcekYi,17873
0DW7boyjvbaSP3OJ72sXgC,663
0DxeaLnv6SyYk2DOqkLO8c,17047
0Dy94lW3txJhWQHqNXP1BT,1428
0DYWCXTkNqGFZIf67SrWEa,738
0DZ5n0r1P0ZjKbjPdbN4wr,2870
0e6qzpphJHtObTSwD75mi0,824
0e9H8oaYYRCKFXOVv848nt,1928
0e86yPdC41PGRkLp2Q1Bph,2904
0E4UA1bttJjSFNgAkLyQuo,1551
0ECwFtbIWEVNwjlrfc6xoL,63854
0EdvGhlC1FkGItLOWQzG4J,70576
0eecdvMrqBftK0M1VKhaF4,11184
0EeHVtSdrYibpGDVHjWEpe,7105
0EeQBlQJFiAfJeVN2vT9s0,2892
0eezS9KmhdjGN436RdTIXu,3113
0eGh2jSWPBX5GuqIHoZJZG,1278
0EghvcisxKybq4CVO7rB5t,2171
0EgUow5z0SXVA9lunNSB1q,1214
0EhgpjUqiIIQhM6ZRF4kXX,5982
0eHQ9o50hj6ZDNBt6Ys1sD,13805
0ejKajmLi2MClrte6SV5BC,552
0ekbDNE2eOq8QiaXM34wer,8770
0Ekfvspc0hlcxdfJJVjcnq,1092
0EmeFodog0BfCgMzAIvKQp,69542
0En4EEcDMJ5kaUCf1aZ9js,525
0EodhzA6yW1bIdD5B4tcmJ,7080
0epidpyARaIPmKpFUwcgnJ,623
0epOFNiUfyON9EYx7Tpr6V,38607
0esUZwk3FcZiAH1fXa66dU,610
0EVUivUkugMtNF09L4QBMH,1964
0EvwXj0AVMDWfOhhEQJfLa,626
0eVyjRhzZKke2KFYTcDkeu,801
0ExYzTb7raTAfsXPtiI5vq,1536
0EyuKHE1AeE9lWUF8mzKVp,6479
0EyZDKtc41e4A3a3v69MxD,694
0f3EsoviYnRKTkmayI3cux,12869
0f3kLT4wvi2mFHlHJgV8Hl,764
0f4zEF6vddRYg7Y3GDL8lk,3371
0f5nVCcR06GX8Qikz0COtT,23861
0f8MDDzIc6M4uH1xH0o0gy,1618
0F6wZIBwxstvRk9eQtpvOo,723
0F6yRPhUj9fUzWn0z3ysyr,973
0fA0VVWsXO9YnASrzqfmYu,116743
0fagNxnyvy6FDvkNPt6X29,920
0fauHpmSHwodVYIjTqOGHz,8953
0FC1LIeQXKib0jOwZqeIwT,6877
0FcC38n7nTB9YS1xhFOKDX,759
0FcmRWJUfnCuwoXE1H2b0H,924
0fDF0jjmdouCIeWhNnblwV,672
0FDJB5xf8i09jDjIg1qNED,579
0fdMBzQuX9TIF6t6N8fwg6,917
0fdpJLsenUo15X3dPPWJSR,1546
0FEJqmeLRzsXj8hgcZaAyB,1162
0fgtHVpOPfXb07S8Jx443z,1588
0fgYKF9Avljex0L9Wt5b8Z,3682
0FI0kxP0BWurTz8cB8BBug,1678
0fIdQWpwzU2oEtsoyArDOL,1251
0fiWOxhsBsQQvFDtxUQWo0,18982
0FJpfR5Bq5EBl2xi0LAp1v,1917
0fkTQEEyEyH71i9tDhS7CO,1597
0FL2d6iFFNAV3yBUbXjZ1U,1787
0flVPOQPuTboUwEtzPk6vj,1322
0FMucZsEnCxs5pqBjHjIc8,6269
0FOWNUFHPnMy0vOw1siGqi,12797
0fPK3TAseRcy6sAS8U8pEw,523
0FPWyyf6MD4QZTj3aypD3O,579
0FrpdcVlJQqibaz5HfBUrL,10456
0fs8oBR1rx7JIXZi75h7Uu,1169
0Fs18mA7TFMvYVRNX4dNTt,725
0fTav4sBLmYOAzKuJw0grL,713
0fTHKjepK5HWOrb2rkS5Em,640
0FTrIsp2Mg7Bkf8eXQrISa,597
0FvgCHaMG7KL6M83yJuhmL,1029
0FVj4JuzTyudaXAwfqDQ20,3735
0fVsDLtoHfzKS8nsocu0G3,521
0FWzNDaEu9jdgcYTbcOa4F,19936
0fY9RWMWc5guge9XOKe4OW,1148
0fykVRaVSsAkxDFfLoCd1J,625
0fYPQBOx0vsRMmjUba9HgF,3670
0fyqyjD7pbaVzbu94ylWQR,625
0fZ2s0I6Gyt60JUJybaEZA,540
0g1QOskZ9opQELS5ijE6XV,3809
0g3NiCRhEv7M4SEDMrpItN,1409
0g5OkLnQogzLrT9s5vw6kl,5027
0g7YfJuAQnXWMiFny5elRH,694
0g9vAlRPK9Gt3FKCekk4TW,7323
0G7OYsWptjRzVFT1AxP8TS,925
0GAapPTQR8KFJxrNZOKksy,1687
0gadJ2b9A4SKsB1RFkBb66,33107
0GbqW5TJr7n4is453VOY4C,1144
0gBvuNzrFCOVaiyKexoYMH,1074
0GByy3DcfbQwDvXGCWmzv9,3844
0gDg7FEsF4Y1jWddJJgcn4,2304
0GDGKpJFhVpcjIGF8N6Ewt,1315
0GF4shudTAFv8ak9eWdd4Y,1260
0GG2cWaonE4JPrjcCCQ1EG,6231
0GgkfnO3Bu2CFn65ZH31TF,563
0gHWXdaWQObi1A6C1rzgRM,830
0GklSybv01PPje5GlXFq2i,979
0gLjJuczGWhqKVMmVpIT52,4170
0GMSpOzEVXA4kboHiyvddO,1306
0gOMnWbGP52F3paKcp5Ts2,1109
0gOsZcHl7H3ewXVIEnWFZX,598
0GOx72r5AAEKRGQFn3xqXK,1853
0GpuSge5ffZ053NhXxgQkV,1916
0gqIrDRL7CEPBWMmkuZPdQ,3286
0grdhNhiRLFBaFVyybqsj6,2870
0Grjlu7ncIuCaSYvCs9fcd,5993
0gusqTJKxtU1UTmNRMHZcv,1525
0gvHPdYxlU94W7V5MSIlFe,613
0Gw3a3BkWLwsMLFbOBmo6Q,1468
0Gw30FmjnPfqEh75ACEjyh,723
0GWCNkPi54upO9WLlwjAHd,8539
0gX4Kuwic0S5GfOp1oBZYC,729
0gXDpqwYNDODn7fB0RDN8J,625
0GxOdKrtD5oUmQROcCs8M4,776
0GxSAKOw8AV0JsEQ0HYY4b,2211
0gxyHStUsqpMadRV0Di1Qt,9163
0GzIauSfKRc5BlNXpTWAGz,2184
0GzVceAvbqLBozWT3s6QcE,937
0h1zs4CTlU9D2QtgPxptUD,6843
0h3YCmvRJ2jqt4jFiR6nGL,1110
0h8q5Df7MVYUDg4Ic8IHwF,511
0h9smro0z3HqUbD94jotU8,3154
0H0OkFxp022WOyKlt3HmlA,921
0H0rBbf7vHXO3qh50Wap7y,1416
0H0yrKDty3I7pPrNUSH3wW,507
0H1InhXaXQPL1aj0mvHemU,684
0H7XMkYygCyZGg8o1uqoZv,557
0H39MdGGX6dbnnQPt6NQkZ,2600
0haZhu4fFKt0Ag94kZDiz2,1162
0hc2qwaU2xy7LUd0FRjcHK,505
0hCNtLu0JehylgoiP8L4Gh,152655
0HcyeAioEKhfwVcJAoyN36,520
0hD97064k3LBUrRvfT42SE,1336
0hDjKSKjl1DC7ovYTDJHe8,4085
0hDJSg859MdK4c9vqu1dS8,1097
0HDxlFsXwyrpufs4YgTNMm,944
0hEurMDQu99nJRq8pTxO14,139919
0hF0PwB04hnXfYMiZWfJzy,1025
0HgICyWHmS6rnl8xWEd0x6,685
0hhL0iOf9ebHlwxWQyeH2w,1272
0hirZ8kPPdM9pzXpoagB4w,1289
0hItVPjwJLVZrFqOyIsxPf,3215
0HjoyITAvSVktTCjXUa40Q,770
0HjYETXAvcL6mzaKjAmH2K,16420
0hk8VgR64voU5ueK96W2DI,1249
0hK26QoGcuKV3lH0x9MvUU,4035
0hLd40hVpRDGENe4KGZLnW,1596
0HLOP0AdsaWe5Pt5TNueGC,1086
0HlxL5hisLf59ETEPM3cUA,760
0HMLp79IAd9Z8zMgxqpyxn,954
0hNjIdUHXWhd0dilzi6c12,2194
0HnvwS4WOXhjvKwQRceHMe,558
0HoHU8SXe0g9jJGOfL8rDq,1035
0HowPCaKsP1sJL2T2eMEoe,640
0hprEC0nsWuQPSHag1O2Vi,6273
0HSGaSAaBPZJq4lisoWA59,849
0HU0U9kdXEHZVxUNbuQe8S,2613
0HWfFWL4vVrbaBQqxVCwCi,584
0hxmHf6CqXsOLWgGXjmr7I,1021
0hxQtmgWiPtEsDPeIuKxXq,1265
0HYbyzzhI44iTHvYnf1nOs,537
0hYxQe3AK5jBPCr5MumLHD,9917
0i1s9WcIu0PrUvHzALgofo,2137
0i5HiI2EUTBneFAJfl7ft9,515
0i5iO6icb7kxg48thi9gBM,543
0I4Bk2s2BUJyykCwtxx8Xx,2427
0I5HubncQ8E1MFZOlPDY4J,6522
0I6yADrmeyvw66g7yjkqIF,1657
0iAOXvEDIMaAWPP5Ur0fYF,777
0IB0VjX9NSrGX6PjCXGVcq,2958
0id62QV2SZZfvBn9xpmuCl,13010
0IdYRFTswLdsGwSnzOaGNF,2906
0IecGJbdBeYSOVtSPRehh5,1001
0iEQgB03UHGzSoaqXNj8sM,950
0iEtIxbK0KxaSlF7G42ZOp,8808
0iEVT8dLNSSmipPOrDGu2z,578
0IF46mUS8NXjgHabxk2MCM,11516
0iHb0mCbqZTYeb4y9Pirrd,3289
0iidQFemlPhkoHqFroz2my,2914
0IlQRCafsMrd0QkTRBU6n0,2473
0iMnpaEHXkgMT956CmP1kj,1043
0INDB6Snts5NDbzh8jC3lk,2844
0inqWv3OS4VpWt691ki8yk,516
0iOVhN3tnSvgDbcg25JoJb,16750
0ip3L7jX2aq8T1VTJRFZ9w,854
0iq2gAVITbmXak4aIiNre3,520
0iqY9Onfqu47Lm6bEC5gpy,607
0iTkPxRldzi5lmS6qZ70JV,630
0iui2Be5CP8EWxvHYsVspL,3633
0IUq1plF3ON4Fboj1bE6kN,923
0IVapwlnM3dEOiMsHXsghT,3568
0IVcLMMbm05VIjnzPkGCyp,5001
0iVrCROxeyon7MZUW3MfzT,11160
0IwlY33zbBXN7zlS9DP2Cj,1657
0IYI04P2UzxwxJxvdvKk7P,702
0IYk6BQrE0HkCOkdITNEUi,669
0iYwcf0XreyCAswJOJMOII,1427
0j0HBDnIuT6rsn840ec18A,579
0j2MwhbFTvquOBhs3LeIfU,507
0J2Ej2rMQyqaUX3G6MUISw,1706
0J6PhnVD21GSFoJ9HoadLH,1285
0J7U24vlOOIeMpuaO6Q85A,3823
0jarApAsbmiCkYhz0590mE,517
0jcaMhfyinUx3Pj8w4nmWZ,677
0JCxGVxsISZzJHJPUOtceB,1703
0JdGPxHeRGfOyZg3EHwp2g,3127
0JDkhL4rjiPNEp92jAgJnS,7608
0Je74SitssvJg1w4Ra2EK7,5606
0Jeckitay8SbvKwqAzWuYH,1733
0jgAONnsHxrwAlhkMUVS78,1787
0jJNGWrpjGIHUdTTJiIYeB,7266
0jkK3K1ATFFHofEWjd2i00,710
0jLpeMAu3aYRlvbjZd65np,1828
0JlTFsR41vwvQTppOR3yio,2264
0jM4IKp6YlTxq8tNDH9fX3,1047
0JM134st8VY7Ld9T2wQiH0,663
0jmPjksXqVrO92Urmx58vg,3570
0jNDKefhfSbLR9sFvcPLHo,14128
0jnsk9HBra6NMjO2oANoPY,120287
0JODAbB25WJVrMt3gc5pKf,833
0jOs0wnXCu1bGGP7kh5uIu,684
0JOxt5QOwq0czoJxvSc5hS,3503
0JQaXh3HoqpI68C2pYUbNW,4483
0JqRJZzARcjmH60HwUenow,914
0jrFMgW018F1XVnLtCXOKi,830
0JTujDbHVqhWAGl06aaW78,1035
0JuDxOwz1e3Wx05t8e3AT3,634
0jUQSUOcM7lxVn5eVGTkzQ,2591
0jW6R8CVyVohuUJVcuweDI,25697
0jx4hPtb5enLdBDdHKuSgf,2010
0JXDwBs1sEp6UKoAP58UdF,944
0k7Xl1pqI3tu8sSEjo5oEg,2403
0k17h0D3J5VfsdmQ1iZtE9,59732
0K1BPXwAU1CTd8DNZohopA,562
0K1q0nXQ8is36PzOKAMbNe,17228
0K3gUcawlzf0s7WE9umkgd,526
0K7VN4aHxHcEb7PqkfoIVA,1413
0kBHkziT1rQpUBWW08p2dN,584
0kbYTNQb4Pb1rPbbaF0pT4,11333
0kD8IT1CzF7js2XKM9lLLa,5872
0KDbBK1pnCWEL33tRNwDhD,550
0KDuKk6YdEu3hR56HtXmxt,3883
0kEfub5RzlZOB2zGomqVSU,2037
0Kekt6CKSo0m5mivKcoH51,3855
0KF35OGFXQttk0yWReabtG,2415
0kGFplMt0ZXkae40T5EVZ7,1039
0KHNqBQFBSJSTDRfvPfCbo,721
0kHp6OZT4pvcCbTMfQCOvE,1040
0khqcsFxd6ans7Zh1JqraT,1183
0khzcQ6PQU5a6dl1Qss3pt,882
0kJMPTXq7h3ztpDukSx5iD,3106
0kkxsdcaWmWU2yWAqclDh4,7873
0KlSW3j5fUEfej47FOrBMr,1313
0KMLfCXYb3Dhf1hLpu8cVd,1206
0kObWap02DEg9EAJ3PBxzf,10244
0KOR480m8faZdcHlyW6hna,718
0KpCz7V5XRkqKuM1JDf56O,3655
0kqRUwSJCCooeI3hNRsghY,2823
0kSHocNBxQeP9pr25l1scP,1409
0KSjxPoT71Dq8qcgfWTdHh,1697
0kV0e99xlTJcLKSu8KrLyp,503
0KV9UzwJbLgC8QdOAxKlTU,500
0kVNa1qBak8arcwcUeLu90,623
0kvp9mzfvoXvGtjSWTgrEb,614
0KWcq2E8ejxp78jdfpCd4K,685
0Kwf0zcciIFGLCKiqNcO6Q,756
0kXCdaJ7C5MD27jXxzvHsa,1055
0kXDB5aeESWj5BD9TCLkMu,688
0KyCXNSa7ZMb5LydfKbLG3,794
0KydPQPUUoTNhmiHKOg5Er,8313
0kzp6Ezum8UhblfmLkcyPq,581
0l5fDpqfSweuzhaAtWa76A,766
0L5fC7Ogm2YwgqVCRcF1bT,11296
0L5GV6LN8SWWUWIdBbTLTZ,2777
0L6Gwm0JDrgIQJfjarWSUR,6068
0L8ExT028jH3ddEcZwqJJ5,131091
0L8jXe7QeS9oYUoXbANmX4,4193
0L9xkvBPcEp1nrhDrodxc5,870
0LALueHEQunQ2d61fXGeZh,1101
0lax1ZgWclW6mZFaGu27MM,3835
0LbLWjaweRbO4FDKYlbfNt,2372
0LcJLqbBmaGUft1e9Mm8HV,20980
0ldU0QJm31y0d6f57R1G2A,621
0le01dl1WllSHhjEXRl4in,4653
0lEssBAxQl2In4RpaB1C2Y,4815
0LhHRmSd1EYM5QdNeNnCoQ,3157
0lIIsJafIVVi3ruN2vFzpS,736
0LIll5i3kwo5A3IDpipgkS,732
0lJlKQvuM2Sd9DPPyUXcHg,8195
0LklyUMMUhpIjMgYHlV0hN,1955
0LlPal5iJGcCWwZp8VefVs,1683
0lLY20XpZ9yDobkbHI7u1y,6082
0LmmhAkoebSsbFfgCybcGI,1314
0LmXoyW6K4zJ48lCRq7w3h,766
0LN8DYo6VtPVK0WQ3g6AXJ,723
0lNg9YtW8USxeZZnEqz3RQ,1041
0LnHdW6HMPoOlNdhG3DHjE,1710
0lO2c86rQmrRJArBxgw0v8,1727
0Lpr5wXzWLtDWm1SjNbpPb,2380
0lqeNK72rVwuLwWOkNOoKD,744
0lSENl3bteP8p2NbiSP7RM,1641
0LsO2x5E0KNdMxkWh0EmE0,580
0LSPREIgGMZXCuKVel7LVD,761
0LsTFjEB1IIrh7IlTxs1GY,2534
0lsuCH8qG9UM8BihdL1Vsc,749
0LthCv77K8NqLKr8B6266a,1121
0LtVJXnPR8msCJiE2DjHxy,8687
0lVlNsuGaOr9vMHCZIAKMt,1540
0LVrQUinPUBFvVD5pLqmWY,1057
0lwRI7lvmlRY5DiA5Xa6wQ,3996
0LyfQWJT6nXafLPZqxe9Of,11661
0lYXa6aa87Tz8Jzv1nW4HM,1052
0LZac5VicY19QLaIUvIB0G,548
0lZoBs4Pzo7R89JM9lxwoT,15669
0lzV2CiahHRiGd6qpADtPS,5163
0m2Wc2gfNUWaAuBK7URPIJ,533
0m5FakHKCQdA7UN0PIzMcL,1057
0m5XJwKGYyUjd3VMfcINCQ,1050
0m9husdLSRyNHOuxFAr5hB,1041
0M1ImWN3uInxUCZVIE9uxa,661
0M3cZtjQZ8fz3Hbw1A4CwF,749
0MASTEXfUt3bpiyGOoEaur,914
0MBIKH9DjtBkv8O3nS6szj,1641
0mCdmt2O8dd8jJWv7m24EE,880
0mEF6nwliNqJuMldWFPuvo,562
0MeLMJJcouYXCymQSHPn8g,30166
0MfC3pip8rY8OFLJVVNvBO,522
0mFoqJiNDtYntypvy6roGR,590
0MG4LXIw7n4x0wjDc6WYXk,3099
0MGUXM1urhmX05MHj5oVsM,712
0MHgLfmQdutffmvWe5XBTN,10038
0mJoamO2s8QKkuKhTpJpPe,927
0MlOPi3zIDMVrfA9R04Fe3,21692
0MLOZd8nYoXxHpOzDH0vXJ,507
0MmnmsAuQKRFpo6vJElcaU,7619
0mnlHIcYkz3TQQ07xiFwuz,1571
0mOvsKSG9z0W7C5InpxjMw,658
0MoXIHcFwhIWnFgBfdvQ30,770
0MponVSpW81oLvJZ53vYZH,3520
0MVp3LuNho9Hk6Q1owsWwt,736
0MvSBMGRQJY3mRwIbJsqF1,1559
0mvTBNG2hAuAEzUVgTYpQ2,1357
0mXTJETA4XUa12MmmXxZJh,6218
0my6Pg4I28dVcZLSpAkqhv,2759
0Mz5XE0kb1GBnbLQm2VbcO,10043
0mzTssRDPIQVH5wSNzOdFZ,543
0n94vC3S9c3mb2HyNAOcjg,52869
0N0d3kjwdY2h7UVuTdJGfp,13738
0N5PyKJzS3M1XNlaCL7bbE,4082
0N12PNPrehNU9PVsJMfdzi,667
0nAVvgfE9yI4DwvMiYwk8a,2076
0Nbd9JL3nvlU5ZofPGZd79,1156
0NbfKEOTQCcwd6o7wSDOHI,42221
0NbK6zi0udNSXMzL7Ekq5T,681
0NbQe5CNgh4YApOCDuHSjb,3667
0Nc79lkTxXLSIIHDB8mqJC,547
0nCiidE5GgDrc5kWN3NZgZ,986
0NDElNqwGRCmsYIQFapp6K,1059
0NGAZxHanS9e0iNHpR8f2W,3713
0NIIxcxNHmOoyBx03SfTCD,20200
0niJkG4tKkne3zwr7I8n9n,6125
0NIPkIjTV8mB795yEIiPYL,688
0nIyPY7J7G68WgQEOLHn0x,2321
0nJaMZM8paoA5HEUTUXPqi,7286
0nJUwPwC9Ti4vvuJ0q3MfT,3388
0nJvyjVTb8sAULPYyA1bqU,1148
0NjyVLii0bdLIS00OS7r31,927
0NKDgy9j66h3DLnN8qu1bB,11783
0Nks3cFWU2a7rooAlFQYgn,501
0NkyXWGxE3WTFixDSJ39PK,1971
0nmQIMXWTXfhgOBdNzhGOs,35617
0Nmzni4mLSbgpRyDim6yYG,684
0Nn9YwJzcaeuU1jJL06e3r,3361
0NnCgUxhtWt1yBtpDyvFQf,1304
0nnp7oJpY2J6yZOqtdKaWq,4738
0nq64XZMWV1s7XHXIkdH7K,6194
0nrcqEG1EEnOwpAfIv0UIb,661
0Nrwy16xCPXG8AwkMbcVvo,1138
0nTbVTXLLbBA4xCtn0cFkv,588
0NTSMFFapnyZfvmCwzcYPd,603
0nvvVQhPQGkYTJlThLbJeu,3337
0NWbwDZY1VkRqFafuQm6wk,29592
0NyzfcGDZZ6GM25EBG9BYK,3660
0o0rlxlC3ApLWsxFkUjMXc,7019
0o7WWONtleH6PWLn5GIoCM,1141
0O0lrN34wrcuBenkqlEDZe,3180
0O7NhieDairfQvi9jr66Cx,2139
0O8iPOnCv1ppuTVLQ9MDNC,541
0O8Q5C7YcMWghyISchsJsy,545
0O98jlCaPzvsoei6U5jfEL,615
0OAusXEginMnUycfJiuxrt,661
0oBEeN6BCxEgMogzThqrPf,12891
0oBsnAC3fzYkTHF3bkfNx6,3083
0OcclcP5o8VKH2TRqSY2A7,21119
0ODQJS4mk7rVBJXjdqByX6,1743
0OdUWJ0sBjDrqHygGUXeCF,22465
0oea1hwGMfUxZbLxJc1XUN,4165
0oeUpvxWsC8bWS6SnpU8b9,22129
0OgdRTPItr9dw4XYp4JJUx,1215
0OhiQFSqbnnmB52NWEpsO5,677
0ojcq9LJQWMawQdFDw3M0L,20173
0okmfBroVgFuvvljnUbqPW,1054
0Ol3Jol2T3lZZVLNNzWPhj,789
0oM8RWZXhJYSnzGdepP7fM,3938
0OMJR0LjjKv21qNvICTgbi,1535
0ONHkAv9pCAFxb0zJwDNTy,13027
0Onvkz1Nbs4wHXXUwOIGk8,26777
0oOet2f43PA68X5RxKobEy,1864
0oPd8f0W82Tgrazx2PYNab,1810
0OpWIlokQeE7BNQMhuu2Nx,8127
0orEyXhG0KnPEDVgpctNJI,1412
0OROVBEZCocg0FcgJpyBse,1096
